Date,Number_of_Sales
2019-08-30,3775.0
2019-08-31,5670.0
2019-09-01,5222.0
2019-09-02,4431.0
2019-09-03,3138.0
2019-09-04,2970.0
2019-09-05,2132.0
2019-09-06,1508.0
2019-09-07,1509.0
2019-09-08,1449.0
2019-09-09,1393.0
2019-09-10,1177.0
2019-09-11,1265.0
2019-09-12,1310.0
2019-09-13,1290.0
2019-09-14,2877.0
2019-09-15,2554.0
2019-09-16,1256.0
2019-09-17,1084.0
2019-09-18,1144.0
2019-09-19,1126.0
2019-09-20,885.0
2019-09-21,2346.0
2019-09-22,2101.0
2019-09-23,1502.0
2019-09-24,1233.0
2019-09-25,1083.0
2019-09-26,1138.0
2019-09-27,1005.0
2019-09-28,2049.0
2019-09-29,2563.0
2019-09-30,2144.0
2019-10-01,3802.0
2019-10-02,3615.0
2019-10-03,4078.0
2019-10-04,3323.0
2019-10-05,3456.0
2019-10-06,2818.0
2019-10-07,3125.0
2019-10-08,3249.0
2019-10-09,5471.0
2019-10-10,4073.0
2019-10-11,5106.0
2019-10-12,3248.0
2019-10-13,3170.0
2019-10-14,3456.0
2019-10-15,4656.0
2019-10-16,3475.0
2019-10-17,4650.0
2019-10-18,4162.0
2019-10-19,3936.0
2019-10-20,8561.0
2019-10-21,3153.0
2019-10-22,3240.0
2019-10-23,2258.0
2019-10-24,2287.0
2019-10-25,2678.0
2019-10-26,3991.0
2019-10-27,3604.0
2019-10-28,3836.0
2019-10-29,2945.0
2019-10-30,2861.0
2019-10-31,2800.0
2019-11-01,3425.0
2019-11-02,4005.0
2019-11-03,3154.0
2019-11-04,2861.0
2019-11-05,3212.0
2019-11-06,5108.0
2019-11-07,5609.0
2019-11-08,4499.0
2019-11-09,5175.0
2019-11-10,5036.0
2019-11-11,3542.0
2019-11-12,3752.0
2019-11-13,3845.0
2019-11-14,2629.0
2019-11-15,3001.0
2019-11-16,3199.0
2019-11-17,2684.0
2019-11-18,3146.0
2019-11-19,2937.0
2019-11-20,2968.0
2019-11-21,2708.0
2019-11-22,13108.0
2019-11-23,17911.0
2019-11-24,19786.0
2019-11-25,10346.0
2019-11-26,12286.0
2019-11-27,11846.0
2019-11-28,10341.0
2019-11-29,18827.0
2019-11-30,13431.0
2019-12-01,16807.0
2019-12-02,13348.0
2019-12-03,8380.0
2019-12-04,7525.0
2019-12-05,10215.0
2019-12-06,8236.0
2019-12-07,9574.0
